date,gross_ret,cost_ret,gross_leverage,n_long,n_short,portfolio_turnover,net_ret,equity,cum_ret
2024-08-30,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-09-02,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-09-03,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-09-04,0.0,0.0,0.0,0,0,1.0,0.0,1197667.0149906713,0.1976670149906714
2024-09-05,-0.007195823129887072,0.0,0.9999999999999999,3,4,1.0,-0.007195823129887072,1189048.8149822985,0.18904881498229842
2024-09-06,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-09-09,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-09-10,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-09-11,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-09-12,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-09-13,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-09-16,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-09-17,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-09-18,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-09-19,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-09-20,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-09-23,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-09-24,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-09-25,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-09-26,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-09-27,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-09-30,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-10-01,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-10-02,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-10-03,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-10-04,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-10-07,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-10-08,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
